num,diff,guess,real 
min_pos: clock_pos1 499951,0,2,2
min_pos: clock_pos1 499952,0,2,2
min_pos: clock_pos1 499953,0,130,130
min_pos: clock_pos2 499954,0,1,1
min_pos: clock_pos2 499955,0,8,8
min_pos: clock_pos2 499956,0,2,2
min_pos: clock_pos1 499957,0,131,131
min_pos: clock_pos2 499958,0,1,1
min_pos: clock_pos1 499959,0,2,2
min_pos: clock_pos2 499960,0,1,1
min_pos: clock_pos1 499961,0,3,3
min_pos: clock_pos1 499962,0,1,1
min_pos: clock_pos1 499963,0,2,2
min_pos: clock_pos1 499964,0,2,2
min_pos: clock_pos1 499965,0,4,4
min_pos: clock_pos2 499966,0,1,1
min_pos: clock_pos1 499967,1,61,60
min_pos: clock_pos2 499968,0,1,1
min_pos: clock_pos1 499969,0,1,1
min_pos: clock_pos1 499970,0,1,1
min_pos: clock_pos1 499971,0,1,1
min_pos: clock_pos2 499972,0,1,1
min_pos: clock_pos2 499973,2,17,15
min_pos: clock_pos1 499974,0,1,1
min_pos: clock_pos1 499975,1,62,61
min_pos: clock_pos2 499976,0,1,1
min_pos: clock_pos1 499977,4,25,21
min_pos: clock_pos1 499978,0,1,1
min_pos: clock_pos1 499979,3,9,6
min_pos: clock_pos2 499980,1,2,1
min_pos: clock_pos1 499981,1,63,62
min_pos: clock_pos2 499982,0,1,1
min_pos: clock_pos1 499983,0,3,3
min_pos: clock_pos2 499984,0,2,2
min_pos: clock_pos1 499985,0,14,14
min_pos: clock_pos1 499986,1,2,1
min_pos: clock_pos1 499987,1,107,106
min_pos: clock_pos2 499988,0,1,1
min_pos: clock_pos2 499989,2,29,27
min_pos: clock_pos1 499990,0,1,1
min_pos: clock_pos2 499991,2,30,28
min_pos: clock_pos1 499992,0,2,2
min_pos: clock_pos2 499993,0,1,1
min_pos: clock_pos1 499994,0,1,1
min_pos: clock_pos1 499995,0,1,1
min_pos: clock_pos1 499996,0,1,1
min_pos: clock_pos1 499997,0,1,1
min_pos: clock_pos2 499998,0,1,1
min_pos: clock_pos2 499999,2,22,20
min_pos: clock_pos2 500000,0,1,1
