num,diff,guess,real 
499951,1,3,2
499952,1,3,2
499953,0,130,130
499954,0,1,1
499955,0,8,8
499956,0,2,2
499957,0,131,131
499958,0,1,1
499959,0,2,2
499960,0,1,1
499961,0,3,3
499962,0,1,1
499963,0,2,2
499964,0,2,2
499965,0,4,4
499966,0,1,1
499967,1,61,60
499968,0,1,1
499969,0,1,1
499970,0,1,1
499971,0,1,1
499972,0,1,1
499973,2,17,15
499974,0,1,1
499975,1,62,61
499976,0,1,1
499977,4,25,21
499978,0,1,1
499979,3,9,6
499980,1,2,1
499981,1,63,62
499982,0,1,1
499983,0,3,3
499984,0,2,2
499985,2,16,14
499986,1,2,1
499987,1,107,106
499988,0,1,1
499989,4,31,27
499990,0,1,1
499991,4,32,28
499992,0,2,2
499993,0,1,1
499994,0,1,1
499995,0,1,1
499996,0,1,1
499997,0,1,1
499998,0,1,1
499999,5,25,20
500000,0,1,1
